time_s,voltage_V,confident
0.0,10.949,True
0.1,10.949,True
0.2,10.947,True
0.3,10.949,True
0.4,10.949,True
0.5,10.949,True
0.6,10.962,True
0.7,10.962,True
0.8,10.962,True
0.9,10.962,True
1.0,10.964,True
1.1,10.964,True
1.2,10.964,True
1.3,10.964,True
1.4,10.964,True
1.5,10.964,True
1.6,10.964,True
1.7,10.968,True
1.8,10.968,True
1.9,10.968,True
2.0,10.968,True
2.1,10.962,True
2.2,10.962,True
2.3,10.962,True
2.4,10.962,True
2.5,10.972,True
2.6,10.972,True
2.7,10.972,True
2.8,10.976,True
2.9,10.976,True
3.0,10.976,True
3.1,10.976,True
3.2,10.982,True
3.3,10.982,True
3.4,10.982,True
3.5,10.982,True
3.6,10.982,True
3.7,10.982,True
3.8,10.982,True
3.9,10.987,True
4.0,10.987,True
4.1,10.987,True
4.2,10.987,True
4.3,10.994,True
4.4,10.994,True
4.5,10.994,True
4.6,10.999,True
4.7,10.999,True
4.8,10.999,True
4.9,10.999,True
5.0,10.998,True
5.1,10.998,True
5.2,10.998,True
5.3,11.086,True
5.4,11.085,True
5.5,11.085,True
5.6,11.008,True
5.7,11.01,True
5.8,11.01,True
5.9,11.01,True
6.0,11.018,True
6.1,11.018,True
6.2,11.018,True
6.3,11.018,True
6.4,11.029,True
6.5,11.026,True
6.6,11.025,True
6.7,11.023,True
6.8,11.023,True
6.9,11.023,True
7.0,11.023,True
7.1,11.027,True
7.2,11.027,True
7.3,11.027,True
7.4,11.027,True
7.5,11.033,True
7.6,11.033,True
7.7,11.033,True
7.8,11.037,True
7.9,11.037,True
8.0,11.037,True
8.1,11.037,True
8.2,11.011,True
8.3,11.011,True
8.4,11.011,True
8.5,11.018,True
8.6,11.018,True
8.7,11.018,True
8.8,11.018,True
8.9,11.017,True
9.0,11.017,True
9.1,11.017,True
9.2,11.017,True
9.3,11.062,True
9.4,11.062,True
9.5,11.062,True
9.6,11.066,True
9.7,11.066,True
9.8,11.066,True
9.9,11.066,True
10.0,11.066,True
10.1,11.066,True
10.2,11.066,True
10.3,11.066,True
10.4,11.068,True
10.5,11.068,True
10.6,11.068,True
10.7,11.069,True
10.8,11.069,True
10.9,11.069,True
11.0,11.069,True
11.1,11.065,True
11.2,11.065,True
11.3,11.065,True
11.4,11.069,True
11.5,11.069,True
11.6,11.069,True
11.7,11.068,True
11.8,11.068,True
11.9,11.068,True
12.0,11.088,True
12.1,11.07,True
12.2,11.07,True
12.3,11.078,True
12.4,11.08,True
12.5,11.08,True
12.6,11.088,True
12.7,11.08,True
12.8,11.076,True
12.9,11.076,True
13.0,11.076,True
13.1,11.08,True
13.2,11.08,True
13.3,11.08,True
13.4,11.088,True
13.5,11.082,True
13.6,11.082,True
13.7,11.082,True
13.8,11.081,True
13.9,11.081,True
14.0,11.081,True
14.1,11.081,True
14.2,11.087,True
14.3,11.087,True
14.4,11.087,True
14.5,11.087,True
14.6,11.087,True
14.7,11.087,True
14.8,11.087,True
14.9,11.092,True
15.0,11.092,True
15.1,11.092,True
15.2,11.082,True
15.3,11.082,True
15.4,11.082,True
15.5,11.082,True
15.6,11.096,True
15.7,11.095,True
15.8,11.095,True
15.9,11.095,True
16.0,11.094,True
16.1,11.094,True
16.2,11.094,True
16.3,11.097,True
16.4,11.097,True
16.5,11.097,True
16.6,11.097,True
16.7,11.098,True
16.8,11.098,True
16.9,11.088,True
17.0,11.098,True
17.1,11.092,True
17.2,11.092,True
17.3,11.092,True
17.4,11.123,True
17.5,11.123,True
17.6,11.123,True
17.7,11.123,True
17.8,11.124,True
17.9,11.124,True
18.0,11.124,True
18.1,11.128,True
18.2,11.128,True
18.3,11.128,True
18.4,11.128,True
18.5,11.127,True
18.6,11.127,True
18.7,11.127,True
18.8,11.127,True
18.9,11.132,True
19.0,11.132,True
19.1,11.132,True
19.2,11.138,True
19.3,11.188,True
19.4,11.138,True
19.5,11.13,True
19.6,11.136,True
19.7,11.136,True
19.8,11.136,True
19.9,11.193,True
20.0,11.133,True
20.1,11.133,True
20.2,11.133,True
20.3,11.135,True
20.4,11.135,True
20.5,11.135,True
20.6,11.136,True
20.7,11.136,True
20.8,11.136,True
20.9,11.136,True
21.0,11.133,True
21.1,11.133,True
21.2,11.193,True
21.3,11.131,True
21.4,11.114,True
21.5,11.114,True
21.6,11.114,True
21.7,11.118,True
21.8,11.118,True
21.9,11.118,True
22.0,11.118,True
22.1,11.118,True
22.2,11.118,True
22.3,11.118,True
22.4,11.119,True
22.5,11.119,True
22.6,11.119,True
22.7,11.119,True
22.8,11.119,True
22.9,11.119,True
23.0,11.119,True
