time_s,voltage_V
0.0,18.949
0.1,18.949
0.2,18.949
0.3,18.949
0.4,18.949
0.5,18.949
0.6,18.993
0.7,18.992
0.8,18.992
0.9,18.992
1.0,18.973
1.1,18.954
1.2,18.954
1.3,18.954
1.4,18.954
1.5,18.954
1.6,18.954
1.7,18.958
1.8,18.958
1.9,18.958
2.0,18.968
2.1,18.962
2.2,18.962
2.3,18.962
2.4,18.964
2.5,18.966
2.6,18.968
2.7,18.97
2.8,18.972
2.9,18.974
3.0,18.976000000000003
3.1,18.978
3.2,18.979000000000003
3.3,18.98
3.4,18.981
3.5,18.982
3.6,18.983
3.7,18.983999999999998
3.8,18.985
3.9,18.985999999999997
4.0,18.987
4.1,18.98933333333333
4.2,18.991666666666667
4.3,18.994
4.4,18.994
4.5,18.994
4.6,18.999
4.7,18.999
4.8,18.999
4.9,18.998
5.0,18.998
5.1,18.998
5.2,17.801333333333336
5.3,16.604666666666667
5.4,15.408
5.5,14.211333333333332
5.6,13.014666666666667
5.7,11.818
5.8,11.818
5.9,11.828
6.0,11.838
6.1,11.838
6.2,11.838
6.3,11.838
6.4,11.836625
6.5,11.835249999999998
6.6,11.833874999999999
6.7,11.8325
6.8,11.831125
6.9,11.82975
7.0,11.828375
7.1,11.827
7.2,11.827
7.3,11.827
7.4,11.823
7.5,11.8255
7.6,11.828
7.7,11.8305
7.8,11.833
7.9,11.833
8.0,11.837
8.1,11.897
8.2,11.841
8.3,11.841
8.4,11.841
8.5,11.8445
8.6,11.848
8.7,11.848
8.8,11.848
8.9,11.8475
9.0,11.847
9.1,11.847
9.2,11.8486
9.3,11.8502
9.4,11.8518
9.5,11.8534
9.6,11.855
9.7,11.855
9.8,11.855
9.9,11.855
10.0,11.855500000000001
10.1,11.856
10.2,11.8565
10.3,11.857
10.4,11.8575
10.5,11.858
10.6,11.8585
10.7,11.859
10.8,11.859
10.9,11.859
11.0,11.869
11.1,11.865
11.2,11.865
11.3,11.866333333333333
11.4,11.867666666666667
11.5,11.869
11.6,11.868
11.7,11.868
11.8,11.868
11.9,11.868
12.0,11.888
12.1,11.838
12.2,16.828
12.3,1.888
12.4,11.888
12.5,1.888
12.6,11.888
12.7,11.888
12.8,1.875
12.9,1.875
13.0,11.825
13.1,6.8214999999999995
13.2,1.818
13.3,18.818
13.4,11.888
13.5,11.812
13.6,11.812
13.7,11.882
13.8,11.865
13.9,11.847999999999999
14.0,11.831
14.1,11.881
14.2,11.827
14.3,1.887
14.4,11.882
14.5,11.8845
14.6,11.887
14.7,11.887
14.8,11.882
14.9,11.832
15.0,11.892
15.1,11.892
15.2,11.892199999999999
15.3,11.8924
15.4,11.8926
15.5,11.8928
15.6,11.893
15.7,11.8932
15.8,11.8934
15.9,11.8936
16.0,11.8938
16.1,11.894
16.2,11.8935
16.3,11.893
16.4,11.8925
16.5,11.892
16.6,1.897
16.7,4.39725
16.8,6.8975
16.9,9.39775
17.0,11.898
17.1,18.292
17.2,11.892
17.3,11.5075
17.4,11.123
17.5,11.123
17.6,11.123
17.7,11.129
17.8,11.124
17.9,11.124
18.0,11.124
18.1,11.122
18.2,11.121
18.3,11.121
18.4,11.121
18.5,11.122
18.6,11.127
18.7,11.127
18.8,11.123
18.9,11.132
19.0,11.132
19.1,11.132
19.2,11.138
19.3,11.138
19.4,11.138
19.5,11.1265
19.6,11.115
19.7,11.136
19.8,11.115
19.9,11.133
20.0,11.133
20.1,11.133
20.2,11.113
20.3,11.115
20.4,11.135
20.5,11.135
20.6,11.116
20.7,11.136
20.8,11.131
20.9,11.132
21.0,11.133
21.1,11.133
21.2,11.133
21.3,11.139
21.4,11.114
21.5,11.144
21.6,11.114
21.7,1.118
21.8,11.111
21.9,11.111
22.0,11.111
22.1,1.118
22.2,11.111
22.3,11.111
22.4,11.113
22.5,11.119
22.6,11.113
22.7,11.116
22.8,11.119
22.9,11.119
23.0,11.119
23.1,11.119
23.2,11.119
23.3,11.119
23.4,11.129
23.5,11.126333333333333
23.6,11.123666666666667
23.7,11.121
23.8,11.122
23.9,11.122
24.0,11.122
24.1,11.123999999999999
24.2,11.126
24.3,11.125
24.4,11.125
24.5,11.124666666666666
24.6,11.124333333333334
24.7,11.124
24.8,11.128
24.9,11.126
25.0,11.126
25.1,11.121
25.2,11.125
25.3,11.126
25.4,11.126
25.5,11.128
25.6,11.128
25.7,11.121
25.8,11.121
25.9,11.128
26.0,11.127
26.1,11.128
26.2,11.129
26.3,11.13
26.4,11.131
26.5,11.132
26.6,11.142
26.7,11.152
26.8,11.132
26.9,11.132
27.0,11.138
27.1,11.138
27.2,11.138
27.3,11.118
27.4,11.131
27.5,11.131
27.6,11.131
27.7,11.131
27.8,11.197
27.9,11.197
28.0,11.137
28.1,11.156
28.2,11.156
28.3,11.166
28.4,11.166
28.5,11.156
28.6,11.156
28.7,11.156
28.8,11.156
28.9,11.156
29.0,11.156
29.1,11.156
29.2,11.156
29.3,11.156
29.4,11.166
29.5,11.198
29.6,11.193
29.7,11.155000000000001
29.8,11.117
29.9,11.181
30.0,11.141
30.1,11.141
30.2,11.149
30.3,11.145
30.4,11.145
30.5,11.145
30.6,11.149
30.7,11.143
30.8,11.143
30.9,11.143
31.0,11.143
31.1,11.143
31.2,11.143
31.3,11.14
31.4,11.137
31.5,11.134
31.6,11.131
31.7,11.128
31.8,11.188
