time_s,voltage_V
0.0,10.949000000000002
0.1,10.949000000000002
0.2,10.949000000000002
0.3,10.949000000000002
0.4,10.949000000000002
0.5,10.963333333333335
0.6,10.977666666666668
0.7,10.992
0.8,10.992
0.9,10.992
1.0,10.973
1.1,10.954
1.2,10.954
1.3,10.954
1.4,10.954
1.5,10.954
1.6,10.954
1.7,10.957999999999998
1.8,10.957999999999998
1.9,10.957999999999998
2.0,10.968
2.1,10.962
2.2,10.962
2.3,10.962
2.4,10.964
2.5,10.966
2.6,10.968
2.7,10.97
2.8,10.972
2.9,10.974
3.0,10.976000000000004
3.1,10.978000000000002
3.2,10.979000000000005
3.3,10.98
3.4,10.981000000000002
3.5,10.982
3.6,10.983
3.7,10.984000000000002
3.8,10.985
3.9,10.985999999999995
4.0,10.986999999999998
4.1,10.989333333333333
4.2,10.991666666666667
4.3,10.994
4.4,10.994
4.5,10.994
4.6,10.999
4.7,10.999
4.8,10.999
4.9,11.015583333333332
5.0,11.032166666666665
5.1,11.066333333333333
5.2,11.092010416666668
5.3,11.104197916666669
5.4,11.11638541666667
5.5,11.115083333333336
5.6,11.09716666666667
5.7,11.068000000000001
5.8,11.053208333333334
5.9,11.038416666666667
6.0,11.037999999999998
6.1,11.037999999999998
6.2,11.037999999999998
6.3,11.037999999999998
6.4,11.036625
6.5,11.035249999999998
6.6,11.033875
6.7,11.0325
6.8,11.031125
6.9,11.02975
7.0,11.028375
7.1,11.027
7.2,11.027
7.3,11.027
7.4,11.023
7.5,11.0255
7.6,11.028
7.7,11.0305
7.8,11.033
7.9,11.033
8.0,11.035
8.1,11.036999999999999
8.2,11.039
8.3,11.041
8.4,11.041
8.5,11.0445
8.6,11.048
8.7,11.048
8.8,11.048
8.9,11.0475
9.0,11.047
9.1,11.047
9.2,11.0486
9.3,11.050199999999998
9.4,11.0518
9.5,11.0534
9.6,11.055
9.7,11.055
9.8,11.055
9.9,11.055
10.0,11.0555
10.1,11.056
10.2,11.0565
10.3,11.057
10.4,11.0575
10.5,11.058
10.6,11.0585
10.7,11.059
10.8,11.059
10.9,11.059
11.0,11.069
11.1,11.065
11.2,11.065
11.3,11.066333333333333
11.4,11.067666666666668
11.5,11.069
11.6,11.068
11.7,11.068
11.8,11.068
11.9,11.068
12.0,11.063555555555556
12.1,11.059111111111111
12.2,11.065222222222221
12.3,11.071333333333332
12.4,11.088
12.5,11.088
12.6,11.088
12.7,11.0775
12.8,11.067
12.9,11.067333333333334
13.0,11.078333333333333
13.1,11.089333333333334
13.2,11.105083333333333
13.3,11.107375000000001
13.4,11.109666666666667
13.5,11.0985
13.6,11.087333333333333
13.7,11.076166666666666
13.8,11.065
13.9,11.048
14.0,11.049625
14.1,11.05125
14.2,11.052875
14.3,11.0545
14.4,11.0695
14.5,11.084499999999998
14.6,11.087
14.7,11.087
14.8,11.08825
14.9,11.089500000000001
15.0,11.09075
15.1,11.092
15.2,11.0922
15.3,11.0924
15.4,11.0926
15.5,11.0928
15.6,11.093
15.7,11.0932
15.8,11.0934
15.9,11.0936
16.0,11.0938
16.1,11.094
16.2,11.0935
16.3,11.093
16.4,11.0925
16.5,11.092
16.6,11.0932
16.7,11.094399999999998
16.8,11.0956
16.9,11.0968
17.0,11.098
17.1,11.095
17.2,11.092
17.3,11.1075
17.4,11.123
17.5,11.123
17.6,11.123
17.7,11.129
17.8,11.124
17.9,11.124
18.0,11.124
18.1,11.122
18.2,11.121
18.3,11.121
18.4,11.121
18.5,11.122
18.6,11.127
18.7,11.127
18.8,11.123
18.9,11.132
19.0,11.132
19.1,11.132
19.2,11.138
19.3,11.138
19.4,11.138
19.5,11.1265
19.6,11.128125
19.7,11.12975
19.8,11.131374999999998
19.9,11.133
20.0,11.133
20.1,11.133
20.2,11.123999999999999
20.3,11.1295
20.4,11.135
20.5,11.135
20.6,11.133666666666667
20.7,11.132333333333333
20.8,11.131
20.9,11.132
21.0,11.133
21.1,11.133
21.2,11.133
21.3,11.1289
21.4,11.1248
21.5,11.1207
21.6,11.1166
21.7,11.1125
21.8,11.111
21.9,11.111
22.0,11.111
22.1,11.111
22.2,11.111
22.3,11.111
22.4,11.113
22.5,11.119
22.6,11.113
22.7,11.116
22.8,11.119
22.9,11.119
23.0,11.119
23.1,11.119
23.2,11.119
23.3,11.119
23.4,11.129
23.5,11.126333333333331
23.6,11.123666666666669
23.7,11.121
23.8,11.122
23.9,11.122
24.0,11.122
24.1,11.124
24.2,11.126
24.3,11.125
24.4,11.125
24.5,11.124666666666666
24.6,11.124333333333334
24.7,11.124
24.8,11.128
24.9,11.126
25.0,11.126
25.1,11.121
25.2,11.125
25.3,11.126
25.4,11.126
25.5,11.128
25.6,11.128
25.7,11.121
25.8,11.121
25.9,11.128
26.0,11.127
26.1,11.128
26.2,11.129
26.3,11.13
26.4,11.131
26.5,11.132
26.6,11.142
26.7,11.137
26.8,11.132
26.9,11.132
27.0,11.138
27.1,11.138
27.2,11.138
27.3,11.1345
27.4,11.131
27.5,11.131
27.6,11.131
27.7,11.136000000000001
27.8,11.141
27.9,11.146
28.0,11.151
28.1,11.156
28.2,11.156
28.3,11.166
28.4,11.166
28.5,11.156
28.6,11.156
28.7,11.156
28.8,11.156
28.9,11.156
29.0,11.156
29.1,11.156
29.2,11.156
