elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.5076,2026-06-03T16:08:53.959024,-0.819368,0.000000
1.0147,2026-06-03T16:08:54.466151,-0.819192,0.000000
1.5050,2026-06-03T16:08:54.956416,-0.819080,0.000000
1.9684,2026-06-03T16:08:55.419764,-0.818744,0.000000
2.5009,2026-06-03T16:08:55.952334,-0.818264,0.000000
2.9603,2026-06-03T16:08:56.411755,-0.817808,0.000000
3.4330,2026-06-03T16:08:56.884424,-0.817024,0.000000
3.8960,2026-06-03T16:08:57.347421,-0.815368,0.000000
4.4212,2026-06-03T16:08:57.872600,-0.813824,0.000000
4.8957,2026-06-03T16:08:58.347089,-0.811792,0.000000
5.3547,2026-06-03T16:08:58.806105,-0.809160,0.000000
5.8212,2026-06-03T16:08:59.272645,-0.806632,0.000000
6.3011,2026-06-03T16:08:59.752545,-0.804008,0.000000
6.7713,2026-06-03T16:09:00.222700,-0.801784,0.000000
7.2612,2026-06-03T16:09:00.712617,-0.799536,0.000000
7.7549,2026-06-03T16:09:01.206267,-0.797400,0.000000
8.2517,2026-06-03T16:09:01.703106,-0.795656,0.000000
8.7623,2026-06-03T16:09:02.213702,-0.792776,0.000000
9.2624,2026-06-03T16:09:02.713769,-0.790464,0.000000
9.7614,2026-06-03T16:09:03.212864,-0.787752,0.000000
10.2580,2026-06-03T16:09:03.709462,-0.784920,0.000000
10.7565,2026-06-03T16:09:04.207899,-0.783240,0.000000
11.2544,2026-06-03T16:09:04.705785,-0.781592,0.000000
11.7210,2026-06-03T16:09:05.172441,-0.780840,0.000000
12.2224,2026-06-03T16:09:05.673830,-0.780472,0.000000
12.7221,2026-06-03T16:09:06.173549,-0.780016,0.000000
13.2304,2026-06-03T16:09:06.681846,-0.779760,0.000000
13.7356,2026-06-03T16:09:07.187017,-0.779520,0.000000
14.2313,2026-06-03T16:09:07.682740,-0.779080,0.000000
14.7169,2026-06-03T16:09:08.168330,-0.778272,0.000000
15.2071,2026-06-03T16:09:08.658492,-0.777104,0.000000
15.6809,2026-06-03T16:09:09.132358,-0.776040,0.000000
16.1806,2026-06-03T16:09:09.631959,-0.774200,0.000000
16.6815,2026-06-03T16:09:10.132935,-0.772064,0.000000
17.2103,2026-06-03T16:09:10.661755,-0.770392,0.000000
17.6825,2026-06-03T16:09:11.133880,-0.767896,0.000000
18.1978,2026-06-03T16:09:11.649251,-0.766192,0.000000
18.6829,2026-06-03T16:09:12.134364,-0.764208,0.000000
19.1829,2026-06-03T16:09:12.634279,-0.762168,0.000000
19.6796,2026-06-03T16:09:13.131043,-0.760632,0.000000
20.1785,2026-06-03T16:09:13.629886,-0.758848,0.000000
20.6849,2026-06-03T16:09:14.136278,-0.757472,0.000000
21.1813,2026-06-03T16:09:14.632681,-0.755744,0.000000
21.6857,2026-06-03T16:09:15.137108,-0.753840,0.000000
22.1795,2026-06-03T16:09:15.630937,-0.752272,0.000000
22.6788,2026-06-03T16:09:16.130231,-0.750408,0.000000
23.1829,2026-06-03T16:09:16.634363,-0.748536,0.000000
23.6784,2026-06-03T16:09:17.129868,-0.746336,0.000000
24.2108,2026-06-03T16:09:17.662212,-0.743928,0.000000
24.7186,2026-06-03T16:09:18.170029,-0.742120,0.000000
25.2166,2026-06-03T16:09:18.667973,-0.741144,0.000000
25.6888,2026-06-03T16:09:19.140227,-0.740520,0.000000
26.1918,2026-06-03T16:09:19.643229,-0.740272,0.000000
26.6898,2026-06-03T16:09:20.141175,-0.740048,0.000000
27.1950,2026-06-03T16:09:20.646409,-0.739840,0.000000
27.6910,2026-06-03T16:09:21.142457,-0.739784,0.000000
28.1982,2026-06-03T16:09:21.649628,-0.739632,0.000000
28.6917,2026-06-03T16:09:22.143121,-0.739520,0.000000
29.1971,2026-06-03T16:09:22.648490,-0.739248,0.000000
29.6924,2026-06-03T16:09:23.143775,-0.738816,0.000000
30.1527,2026-06-03T16:09:23.604083,-0.738352,0.000000
30.6456,2026-06-03T16:09:24.097010,-0.737544,0.000000
31.1140,2026-06-03T16:09:24.565466,-0.735984,0.000000
31.5728,2026-06-03T16:09:25.024225,-0.734608,0.000000
32.0616,2026-06-03T16:09:25.512991,-0.732632,0.000000
