elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.4930,2026-06-22T14:59:55.473385,-2.660000,0.000000
0.9960,2026-06-22T14:59:55.976439,-2.660000,0.000000
1.5371,2026-06-22T14:59:56.517493,-7.760000,0.000000
2.0800,2026-06-22T14:59:57.060422,2.390340,0.000000
2.6522,2026-06-22T14:59:57.632609,2.397140,0.000000
3.2043,2026-06-22T14:59:58.184721,2.412040,0.000000
3.7358,2026-06-22T14:59:58.716244,2.412040,0.000000
4.2438,2026-06-22T14:59:59.224243,2.491668,0.000000
4.7988,2026-06-22T14:59:59.779248,2.189280,0.000000
5.3860,2026-06-22T15:00:00.366477,2.452900,0.000000
5.8861,2026-06-22T15:00:00.866483,2.466508,0.000000
6.3693,2026-06-22T15:00:01.349691,1.713308,0.000000
6.9165,2026-06-22T15:00:01.896895,2.536072,0.000000
7.4992,2026-06-22T15:00:02.479598,2.132800,0.000000
7.9982,2026-06-22T15:00:02.978662,2.256420,0.000000
8.4967,2026-06-22T15:00:03.477182,2.270996,0.000000
9.0475,2026-06-22T15:00:04.027948,2.494480,0.000000
9.6197,2026-06-22T15:00:04.600180,2.467180,0.000000
10.1456,2026-06-22T15:00:05.125999,2.254240,0.000000
10.6901,2026-06-22T15:00:05.670515,2.478100,0.000000
11.1862,2026-06-22T15:00:06.166657,2.490544,0.000000
11.6859,2026-06-22T15:00:06.666360,2.351676,0.000000
12.1736,2026-06-22T15:00:07.154046,1.596780,0.000000
12.6483,2026-06-22T15:00:07.628701,0.853956,0.000000
13.1206,2026-06-22T15:00:08.101039,0.141308,0.000000
13.5959,2026-06-22T15:00:08.576329,-0.459652,0.000000
14.0907,2026-06-22T15:00:09.071085,-0.459704,0.000000
14.5542,2026-06-22T15:00:09.534608,-0.459692,0.000000
15.0524,2026-06-22T15:00:10.032860,-0.459720,0.000000
15.5485,2026-06-22T15:00:10.528876,-0.459712,0.000000
16.0296,2026-06-22T15:00:11.009989,-0.459688,0.000000
16.5233,2026-06-22T15:00:11.503713,-0.459704,0.000000
16.9813,2026-06-22T15:00:11.961711,-0.459696,0.000000
17.4743,2026-06-22T15:00:12.454748,-0.459672,0.000000
17.9648,2026-06-22T15:00:12.945233,-0.459664,0.000000
18.4556,2026-06-22T15:00:13.436064,-0.459720,0.000000
18.9129,2026-06-22T15:00:13.893284,-0.459724,0.000000
19.4090,2026-06-22T15:00:14.389462,-0.459712,0.000000
19.8949,2026-06-22T15:00:14.875283,-0.459676,0.000000
